channel,message_id,date,text,phone_numbers,prices,tokens,clean_text
Leyueqa,7595,2025-06-19T08:12:15+00:00,"🔝🔝🔝🔝Bamboo Trey
  3pc ✅
Price✅ 3300 ከነፃ ዲሊቨሪ ጋር
            0933334444 @LeMazez_z 
            0946242424 @Le_Mazez
            0944109295 @Lemaze_z
#ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሆኑ
#ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ   ","['0933334444', '0946242424', '0944109295']",[''],"['🔝🔝🔝🔝Bamboo', 'Trey', '3pc', '✅', 'Price✅', '3300', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', '0933334444', 'LeMazez', 'z', '0946242424', 'Le', 'Mazez', '0944109295', 'Lemaze', 'z', 'ክፍያዎን', 'በሞባይል', 'ባንኪንግ', 'መፈፀምም', 'ይችላሉ', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሆኑ', 'ሁለት', 'ዕቃዎች', 'ሲገዙ', 'ስጦታ', 'እንልክለዎታለን', '🎁', 'T.me', 'Leyueqa', '👈ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ']",🔝🔝🔝🔝Bamboo Trey 3pc ✅ Price✅ 3300 ከነፃ ዲሊቨሪ ጋር 0933334444 LeMazez z 0946242424 Le Mazez 0944109295 Lemaze z ክፍያዎን በሞባይል ባንኪንግ መፈፀምም ይችላሉ በተጨማሪ ከ 1000 ብር በላይ የሆኑ ሁለት ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 🎁 T.me Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ
Leyueqa,7594,2025-06-19T05:45:13+00:00,"🛡🛡🛡ዉሃ ስርገትን ወደ ፍራሽ ዉስጥ እንዳይገባ እና አላስፈላጊ ሽታን እንዲሁም ድካምን የሚከላከል አንሶላ Mattress PROTECTOR POLYESTER MICROFIBER 

✔️ለ 1.50
✔️ለ 1.80

ከነፃ ዲሊቨሪ ጋር 3500 ብር 💵💵

  📌📌📌አድራሻ
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 114B

ባሉበት  ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 
0933334444 @LeMazez_z
0946242424 @Le_Mazez
0944109295 @Lemaze_z","['0933334444', '0946242424', '0944109295']","['.50', '.80', '', '']","['🛡🛡🛡ዉሃ', 'ስርገትን', 'ወደ', 'ፍራሽ', 'ዉስጥ', 'እንዳይገባ', 'እና', 'አላስፈላጊ', 'ሽታን', 'እንዲሁም', 'ድካምን', 'የሚከላከል', 'አንሶላ', 'Mattress', 'PROTECTOR', 'POLYESTER', 'MICROFIBER', '✔️ለ', '1.50', '✔️ለ', '1.80', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', '3500', 'ብር', '💵💵', '📌📌📌አድራሻ', '⭕️ቁጥር', '1', 'ልደታ', 'ወደ', 'ባልቻ', 'ሆስፒታል', 'ገባ', 'ብሎ', 'አህመድ', 'ህንፃ', 'ላይ', '1ኛፎቅ', '114B', 'ባሉበት', 'ያለተጨማሪ', 'ክፍያ', 'ማዘዝ', 'ይችላሉ', '0933334444', 'LeMazez', 'z', '0946242424', 'Le', 'Mazez', '0944109295', 'Lemaze', 'z']",🛡🛡🛡ዉሃ ስርገትን ወደ ፍራሽ ዉስጥ እንዳይገባ እና አላስፈላጊ ሽታን እንዲሁም ድካምን የሚከላከል አንሶላ Mattress PROTECTOR POLYESTER MICROFIBER ✔️ለ 1.50 ✔️ለ 1.80 ከነፃ ዲሊቨሪ ጋር 3500 ብር 💵💵 📌📌📌አድራሻ ⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez z 0946242424 Le Mazez 0944109295 Lemaze z
Leyueqa,7593,2025-06-18T11:03:35+00:00,"💙💙💙💙💙💙💙 
Kitchen Oil proof Stickers
ለኪችንዎ ግርማሞገስ የሚያላብስ ኪችንዎን ፅድት የሚያደርግ 
⭐️ለመሳቢያ ፣ ለካቢኔ ፣ ለኩሽና ፣ ለስላሳ የእንጨት ገጽና ግድግዳ ላይ የሚለጠፍ  በራሱ የሚጣበቅ  ውሃ የማያሳልፍ (Waterproof) የሆነ

⭐️ስፋት 60cm×5meter ሜትር 
ዋጋ 1200  ብር  ሲያዙ ነፃ ዲሊቨሪ

⭐️ሙቀትንእና እርጥበትን የሚቋቋም ለማፅዳት ቀላል

   0933334444 @LeMazez_z
   0944109295 @Lemaze_z
   0946242424 @Le_Mazez
   🔺አድራሻ
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 114B","['0933334444', '0944109295', '0946242424']","['', '']","['💙💙💙💙💙💙💙', 'Kitchen', 'Oil', 'proof', 'Stickers', 'ለኪችንዎ', 'ግርማሞገስ', 'የሚያላብስ', 'ኪችንዎን', 'ፅድት', 'የሚያደርግ', '⭐️ለመሳቢያ', 'ለካቢኔ', 'ለኩሽና', 'ለስላሳ', 'የእንጨት', 'ገጽና', 'ግድግዳ', 'ላይ', 'የሚለጠፍ', 'በራሱ', 'የሚጣበቅ', 'ውሃ', 'የማያሳልፍ', 'Waterproof', 'የሆነ', '⭐️ስፋት', '60cm×5meter', 'ሜትር', 'ዋጋ', '1200', 'ብር', 'ሲያዙ', 'ነፃ', 'ዲሊቨሪ', '⭐️ሙቀትንእና', 'እርጥበትን', 'የሚቋቋም', 'ለማፅዳት', 'ቀላል', '0933334444', 'LeMazez', 'z', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez', '🔺አድራሻ', '⭕️ቁጥር', '1', 'ልደታ', 'ወደ', 'ባልቻ', 'ሆስፒታል', 'ገባ', 'ብሎ', 'አህመድ', 'ህንፃ', 'ላይ', '1ኛፎቅ', '114B']",💙💙💙💙💙💙💙 Kitchen Oil proof Stickers ለኪችንዎ ግርማሞገስ የሚያላብስ ኪችንዎን ፅድት የሚያደርግ ⭐️ለመሳቢያ ለካቢኔ ለኩሽና ለስላሳ የእንጨት ገጽና ግድግዳ ላይ የሚለጠፍ በራሱ የሚጣበቅ ውሃ የማያሳልፍ Waterproof የሆነ ⭐️ስፋት 60cm×5meter ሜትር ዋጋ 1200 ብር ሲያዙ ነፃ ዲሊቨሪ ⭐️ሙቀትንእና እርጥበትን የሚቋቋም ለማፅዳት ቀላል 0933334444 LeMazez z 0944109295 Lemaze z 0946242424 Le Mazez 🔺አድራሻ ⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B
Leyueqa,7592,2025-06-18T08:38:20+00:00,"✨✨SOKANY 4 IN 1 HAND BLENDER

⚡️300Watt ጉልበት ያለው

🙂የህፃናት  ምግብ ለማዘጋጀት የሚፈለግ

💥 ጁስ፣ሽንኩርት፣ ስጋ እና አትክልቶችን ይፈጩበታል

💥 እንቁላልና ክሬም ይመቱበታል

         ዋጋ፦ 💵 4200 ብር💵

#ክፍያዎን_በሞባይል_ባንኪንግ_መፈፀምም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሆኑ #ሁለት_ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 🙂ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 

            0933334444 @Leyustore
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez","['0933334444', '0944109295', '0946242424']","['', '', '']","['✨✨SOKANY', '4', 'IN', '1', 'HAND', 'BLENDER', '⚡️300Watt', 'ጉልበት', 'ያለው', '🙂የህፃናት', 'ምግብ', 'ለማዘጋጀት', 'የሚፈለግ', '💥', 'ጁስ', 'ሽንኩርት', 'ስጋ', 'እና', 'አትክልቶችን', 'ይፈጩበታል', '💥', 'እንቁላልና', 'ክሬም', 'ይመቱበታል', 'ዋጋ፦', '💵', '4200', 'ብር💵', 'ክፍያዎን', 'በሞባይል', 'ባንኪንግ', 'መፈፀምም', 'ይችላሉ', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሆኑ', 'ሁለት', 'ዕቃዎች', 'ሲገዙ', 'ስጦታ', 'እንልክለዎታለን', '🎁', 'T.me', 'Leyueqa', '🙂ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ', '0933334444', 'Leyustore', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez']",✨✨SOKANY 4 IN 1 HAND BLENDER ⚡️300Watt ጉልበት ያለው 🙂የህፃናት ምግብ ለማዘጋጀት የሚፈለግ 💥 ጁስ ሽንኩርት ስጋ እና አትክልቶችን ይፈጩበታል 💥 እንቁላልና ክሬም ይመቱበታል ዋጋ፦ 💵 4200 ብር💵 ክፍያዎን በሞባይል ባንኪንግ መፈፀምም ይችላሉ በተጨማሪ ከ 1000 ብር በላይ የሆኑ ሁለት ዕቃዎች ሲገዙ ስጦታ እንልክለዎታለን 🎁 T.me Leyueqa 🙂ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 Leyustore 0944109295 Lemaze z 0946242424 Le Mazez
Leyueqa,7591,2025-06-18T06:01:15+00:00,"🔠🔠🔠🔠🔠💡🔠🔠🔠🔠70ሴ.ሜ ድረስ የጎን ሳይዝ ያላቸዉ ለማንኛዉም ፍሪጅ+ለኦቭን+ለዲፕ ፍሪዝ ማስቀመጥ ወይም በቀላሉ ማንቀሳቀስ የሚያስችል
🅰 Adjustable Base For Washing amachine & Refrigerator

👌የፍሪጅ፣ ማስቀመጫ ማንቀሳቀሻ  የራስዎን  እና የዕቃዎን ደህንነት ይጠብቁ!  
ℹ ለቤትዎ ቢሉ ለስራ ቦታ የሚሆን 
⚡ እያንዳንዳቸዉ ከ49_70 ሳ.ሜ ድረስ መለጠጥ የሚችል 
🌾height 10cm
👉 load 200kg
          ዋጋ ✔️2200 ብር ከነፃ ዲሊቨሪ ጋር

❗️የሞተር አናስከፍልም❗️

#ክፍያዎን_ ዕቃዉ _እጅዎ ሲደርስ_ከፈለጉ_በካሽ_አልያም_በሞባይል_ባንኪንግ_መፈፀም_ይችላሉ በተጨማሪ #ከ_1000_ብር በላይ የሚተመኑ #ሁለት_ዕቃዎችን_ ሲገዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
           👉 ያሉበት ድረስ በነፃ እናደርሳለን 🚗
          
           0933334444 @LeMazez_z
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez","['0933334444', '0944109295', '0946242424']",[''],"['🔠🔠🔠🔠🔠💡🔠🔠🔠🔠70ሴ.ሜ', 'ድረስ', 'የጎን', 'ሳይዝ', 'ያላቸዉ', 'ለማንኛዉም', 'ፍሪጅ', 'ለኦቭን', 'ለዲፕ', 'ፍሪዝ', 'ማስቀመጥ', 'ወይም', 'በቀላሉ', 'ማንቀሳቀስ', 'የሚያስችል', '🅰', 'Adjustable', 'Base', 'For', 'Washing', 'amachine', 'Refrigerator', '👌የፍሪጅ', 'ማስቀመጫ', 'ማንቀሳቀሻ', 'የራስዎን', 'እና', 'የዕቃዎን', 'ደህንነት', 'ይጠብቁ!', 'ℹ', 'ለቤትዎ', 'ቢሉ', 'ለስራ', 'ቦታ', 'የሚሆን', '⚡', 'እያንዳንዳቸዉ', 'ከ49', '70', 'ሳ.ሜ', 'ድረስ', 'መለጠጥ', 'የሚችል', '🌾height', '10cm', '👉', 'load', '200kg', 'ዋጋ', '✔️2200', 'ብር', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', '❗️የሞተር', 'አናስከፍልም❗️', 'ክፍያዎን', 'ዕቃዉ', 'እጅዎ', 'ሲደርስ', 'ከፈለጉ', 'በካሽ', 'አልያም', 'በሞባይል', 'ባንኪንግ', 'መፈፀም', 'ይችላሉ', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሚተመኑ', 'ሁለት', 'ዕቃዎችን', 'ሲገዙ', 'ስጦታ', 'እንልክለዎታለን', '🎁', 'T.me', 'Leyueqa', '👈ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ', '👉', 'ያሉበት', 'ድረስ', 'በነፃ', 'እናደርሳለን', '🚗', '0933334444', 'LeMazez', 'z', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez']",🔠🔠🔠🔠🔠💡🔠🔠🔠🔠70ሴ.ሜ ድረስ የጎን ሳይዝ ያላቸዉ ለማንኛዉም ፍሪጅ ለኦቭን ለዲፕ ፍሪዝ ማስቀመጥ ወይም በቀላሉ ማንቀሳቀስ የሚያስችል 🅰 Adjustable Base For Washing amachine Refrigerator 👌የፍሪጅ ማስቀመጫ ማንቀሳቀሻ የራስዎን እና የዕቃዎን ደህንነት ይጠብቁ! ℹ ለቤትዎ ቢሉ ለስራ ቦታ የሚሆን ⚡ እያንዳንዳቸዉ ከ49 70 ሳ.ሜ ድረስ መለጠጥ የሚችል 🌾height 10cm 👉 load 200kg ዋጋ ✔️2200 ብር ከነፃ ዲሊቨሪ ጋር ❗️የሞተር አናስከፍልም❗️ ክፍያዎን ዕቃዉ እጅዎ ሲደርስ ከፈለጉ በካሽ አልያም በሞባይል ባንኪንግ መፈፀም ይችላሉ በተጨማሪ ከ 1000 ብር በላይ የሚተመኑ ሁለት ዕቃዎችን ሲገዙ ስጦታ እንልክለዎታለን 🎁 T.me Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 👉 ያሉበት ድረስ በነፃ እናደርሳለን 🚗 0933334444 LeMazez z 0944109295 Lemaze z 0946242424 Le Mazez
Leyueqa,7588,2025-06-17T14:27:10+00:00,"💥💥storage bowl 4pcs 

ዋጋ 2100  ከነፃ ዲሊቨሪ ጋር

በተጨማሪ #ከ_1000_ብር በላይ የሆኑ
#ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ  ሲያዙ ስጦታ እንልክለዎታለን 
T.me/Leyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
       
   0933334444 @LeMazez_z
   0944109295 @Lemaze_z
   0946242424 @Le_Mazez
   ✅አድራሻ
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 114B","['0933334444', '0944109295', '0946242424']","['', '']","['💥💥storage', 'bowl', '4pcs', 'ዋጋ', '2100', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሆኑ', 'ሁለት', 'ዕቃዎች', 'በአንድዲሊቨሪ', 'ግዜ', 'ሲያዙ', 'ስጦታ', 'እንልክለዎታለን', 'T.me', 'Leyueqa', 'ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ', '0933334444', 'LeMazez', 'z', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez', '✅አድራሻ', '⭕️ቁጥር', '1', 'ልደታ', 'ወደ', 'ባልቻ', 'ሆስፒታል', 'ገባ', 'ብሎ', 'አህመድ', 'ህንፃ', 'ላይ', '1ኛፎቅ', '114B']",💥💥storage bowl 4pcs ዋጋ 2100 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ 1000 ብር በላይ የሆኑ ሁለት ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን T.me Leyueqa ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez z 0944109295 Lemaze z 0946242424 Le Mazez ✅አድራሻ ⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B
Leyueqa,7587,2025-06-17T10:48:34+00:00,"🆕🔄የቡና ስኒዎች ከማስቀመጫ ጋር 

💵  ዋጋ 6ፍሬ 2000 ከነፃ ዲሊቨሪ ጋር
 💵 12 ፍሬ  3600 ከነፃ ዲሊቨሪ ጋር


በተጨማሪ #ከ_1000_ብር በላይ የሆኑ
#ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ  ሲያዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
            0933334444 @LeMazez_z
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez","['0933334444', '0944109295', '0946242424']","['', '', '']","['🆕🔄የቡና', 'ስኒዎች', 'ከማስቀመጫ', 'ጋር', '💵', 'ዋጋ', '6ፍሬ', '2000', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', '💵', '12', 'ፍሬ', '3600', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሆኑ', 'ሁለት', 'ዕቃዎች', 'በአንድዲሊቨሪ', 'ግዜ', 'ሲያዙ', 'ስጦታ', 'እንልክለዎታለን', '🎁', 'T.me', 'Leyueqa', '👈ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ', '0933334444', 'LeMazez', 'z', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez']",🆕🔄የቡና ስኒዎች ከማስቀመጫ ጋር 💵 ዋጋ 6ፍሬ 2000 ከነፃ ዲሊቨሪ ጋር 💵 12 ፍሬ 3600 ከነፃ ዲሊቨሪ ጋር በተጨማሪ ከ 1000 ብር በላይ የሆኑ ሁለት ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን 🎁 T.me Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez z 0944109295 Lemaze z 0946242424 Le Mazez
Leyueqa,7586,2025-06-17T08:52:38+00:00,"8️⃣pcs Glass Kettle Set

⭐️ማራኪ እና በዉብ ዲዛይን
 1.4L የመያዝ አቅም ያለው  ጆግ
6 መጠጫ ብርጭቆ ጋር
ማቅረቢያ ሰርቪስ
ለቤትዎ ተጨማሪ ድምቀት የሚሆን

       💲   ዋጋ  3600 ከነፃ ዲሊቨሪ ጋር 

        ከነፃ ቤት ማድረስ ጋር

 
🚨 ያሉበት ድረስ  በነፃ እናደርሳለን።

በተጨማሪ #ከ_1000_ብር በላይ የሆኑ
#ሁለት_ዕቃዎች በአንድዲሊቨሪ ግዜ  ሲያዙ ስጦታ እንልክለዎታለን 
🎁 T.me/Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 
            0933334444 @LeMazez_z
            0946242424 @Le_Mazez
            0944109295 @Lemaze_z","['0933334444', '0946242424', '0944109295']","['', '', '', '']","['8️⃣pcs', 'Glass', 'Kettle', 'Set', '⭐️ማራኪ', 'እና', 'በዉብ', 'ዲዛይን', '1.4L', 'የመያዝ', 'አቅም', 'ያለው', 'ጆግ', '6', 'መጠጫ', 'ብርጭቆ', 'ጋር', 'ማቅረቢያ', 'ሰርቪስ', 'ለቤትዎ', 'ተጨማሪ', 'ድምቀት', 'የሚሆን', '💲', 'ዋጋ', '3600', 'ከነፃ', 'ዲሊቨሪ', 'ጋር', 'ከነፃ', 'ቤት', 'ማድረስ', 'ጋር', '🚨', 'ያሉበት', 'ድረስ', 'በነፃ', 'እናደርሳለን', 'በተጨማሪ', 'ከ', '1000', 'ብር', 'በላይ', 'የሆኑ', 'ሁለት', 'ዕቃዎች', 'በአንድዲሊቨሪ', 'ግዜ', 'ሲያዙ', 'ስጦታ', 'እንልክለዎታለን', '🎁', 'T.me', 'Leyueqa', '👈ቻናላችንን', 'ለጓደኛዎ', 'ሸር', 'ማድረግዎን', 'አይርሱ', '0933334444', 'LeMazez', 'z', '0946242424', 'Le', 'Mazez', '0944109295', 'Lemaze', 'z']",8️⃣pcs Glass Kettle Set ⭐️ማራኪ እና በዉብ ዲዛይን 1.4L የመያዝ አቅም ያለው ጆግ 6 መጠጫ ብርጭቆ ጋር ማቅረቢያ ሰርቪስ ለቤትዎ ተጨማሪ ድምቀት የሚሆን 💲 ዋጋ 3600 ከነፃ ዲሊቨሪ ጋር ከነፃ ቤት ማድረስ ጋር 🚨 ያሉበት ድረስ በነፃ እናደርሳለን በተጨማሪ ከ 1000 ብር በላይ የሆኑ ሁለት ዕቃዎች በአንድዲሊቨሪ ግዜ ሲያዙ ስጦታ እንልክለዎታለን 🎁 T.me Leyueqa 👈ቻናላችንን ለጓደኛዎ ሸር ማድረግዎን አይርሱ 0933334444 LeMazez z 0946242424 Le Mazez 0944109295 Lemaze z
Leyueqa,7583,2025-06-17T05:59:20+00:00,"🧳🧳🧳ካዉያ Stronglite iron 2.5 Kg 1200W Heavy Weight Iron Box - Gold Coloured Plate 

ዋጋ ✔️2000

      ነፃ ዲሊቨሪ

📌📌📌አድራሻ😀
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 114B
⭕️ቁጥር 2 __ 22 አውራሪስ ሆቴል አጠገብ  በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ  በ ግራ የሱቅ ቁጥር👌 C10 
ይደዉሉልን👆 
ባሉበት  ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 

            0933334444 @LeMazez_z
            0944109295 @Lemaze_z
            0946242424 @Le_Mazez","['0933334444', '0944109295', '0946242424']","['.5', '', '', '', '']","['🧳🧳🧳ካዉያ', 'Stronglite', 'iron', '2.5', 'Kg', '1200W', 'Heavy', 'Weight', 'Iron', 'Box', '-', 'Gold', 'Coloured', 'Plate', 'ዋጋ', '✔️2000', 'ነፃ', 'ዲሊቨሪ', '📌📌📌አድራሻ😀', '⭕️ቁጥር', '1', 'ልደታ', 'ወደ', 'ባልቻ', 'ሆስፒታል', 'ገባ', 'ብሎ', 'አህመድ', 'ህንፃ', 'ላይ', '1ኛፎቅ', '114B', '⭕️ቁጥር', '2', '22', 'አውራሪስ', 'ሆቴል', 'አጠገብ', 'በፀጋ', 'ህንፃ', '3ኛ', 'ፎ', 'ቅ', 'ከ', 'ሊፍቱ', 'በ', 'ግራ', 'የሱቅ', 'ቁጥር👌', 'C10', 'ይደዉሉልን👆', 'ባሉበት', 'ያለተጨማሪ', 'ክፍያ', 'ማዘዝ', 'ይችላሉ', '0933334444', 'LeMazez', 'z', '0944109295', 'Lemaze', 'z', '0946242424', 'Le', 'Mazez']",🧳🧳🧳ካዉያ Stronglite iron 2.5 Kg 1200W Heavy Weight Iron Box - Gold Coloured Plate ዋጋ ✔️2000 ነፃ ዲሊቨሪ 📌📌📌አድራሻ😀 ⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B ⭕️ቁጥር 2 22 አውራሪስ ሆቴል አጠገብ በፀጋ ህንፃ 3ኛ ፎ ቅ ከ ሊፍቱ በ ግራ የሱቅ ቁጥር👌 C10 ይደዉሉልን👆 ባሉበት ያለተጨማሪ ክፍያ ማዘዝ ይችላሉ 0933334444 LeMazez z 0944109295 Lemaze z 0946242424 Le Mazez
Leyueqa,7580,2025-06-16T12:19:57+00:00,"💥💥New simple floor clothes rack

✅Three in one to save space
✅Large capacity storage
✅Double raw hook design
✅Widened storage design
✅L-shaped integrated design
✅Thickened steel pipe
✅Saving money
✅Easy to adjust
✅No tool required
Easy instalation

✅Five layer

✅size:60*29.5*172cm

       💵   ዋጋ 👉 2800 ብር

📍📍አድራሻ
⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ  አህመድ ህንፃ ላይ 1ኛፎቅ 114B

0933334444 @LeMazez_z
0946242424 @Le_Mazez
0944109295 @Lemaze_z","['0933334444', '0946242424', '0944109295']","['', '.5', '', '']","['💥💥New', 'simple', 'floor', 'clothes', 'rack', '✅Three', 'in', 'one', 'to', 'save', 'space', '✅Large', 'capacity', 'storage', '✅Double', 'raw', 'hook', 'design', '✅Widened', 'storage', 'design', '✅L-shaped', 'integrated', 'design', '✅Thickened', 'steel', 'pipe', '✅Saving', 'money', '✅Easy', 'to', 'adjust', '✅No', 'tool', 'required', 'Easy', 'instalation', '✅Five', 'layer', '✅size:60', '29.5', '172cm', '💵', 'ዋጋ', '👉', '2800', 'ብር', '📍📍አድራሻ', '⭕️ቁጥር', '1', 'ልደታ', 'ወደ', 'ባልቻ', 'ሆስፒታል', 'ገባ', 'ብሎ', 'አህመድ', 'ህንፃ', 'ላይ', '1ኛፎቅ', '114B', '0933334444', 'LeMazez', 'z', '0946242424', 'Le', 'Mazez', '0944109295', 'Lemaze', 'z']",💥💥New simple floor clothes rack ✅Three in one to save space ✅Large capacity storage ✅Double raw hook design ✅Widened storage design ✅L-shaped integrated design ✅Thickened steel pipe ✅Saving money ✅Easy to adjust ✅No tool required Easy instalation ✅Five layer ✅size:60 29.5 172cm 💵 ዋጋ 👉 2800 ብር 📍📍አድራሻ ⭕️ቁጥር 1 ልደታ ወደ ባልቻ ሆስፒታል ገባ ብሎ አህመድ ህንፃ ላይ 1ኛፎቅ 114B 0933334444 LeMazez z 0946242424 Le Mazez 0944109295 Lemaze z
